Commodity,January,February,March,April,May,June,July,August,September,October,November,December,Standard_dev
Methi (Bhaji),139749.61,51372.71,33293.14,22346.44,12711.5,12156.13,37218.69,40988.41,40679.68,46290.42,108511.74,128131.29,44052.71
Math (Bhaji),4063.36,30639.86,29467.57,19091.0,38264.67,17146.78,5576.69,5603.33,5061.57,4991.41,14115.9,69939.31,19517.69
Coconut,87135.0,89675.0,84619.25,89695.33,67333.5,95880.33,104411.33,85440.5,104307.4,118207.0,138385.33,120096.67,19398.81
Bedana,28156.25,54052.75,68962.2,58902.6,46857.75,53878.25,45585.0,64387.0,47934.33,34808.83,8582.33,28331.5,17341.87
Onion,86389.33,78814.93,67255.81,68392.24,72091.81,64399.37,40221.01,44041.34,40939.14,40377.19,52459.67,81784.98,17162.81
Coriander  ,45801.75,32893.19,49597.76,41384.17,45010.54,14252.03,19689.22,31421.66,16772.41,33241.19,55710.06,72547.18,17068.16
Sugar,113785.5,105970.0,118292.0,112239.5,98938.0,95026.5,106311.0,86963.5,110867.33,123764.33,90932.0,144111.5,15663.94
Mango,133.0,574.25,8968.8,26819.0,42200.5,18041.73,4718.85,684.0,0.0,0.0,16.0,0.0,13683.14
Coriander ,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,43068.88,0.0,12430.32
Cotton,26579.27,26944.98,14202.09,11148.07,5746.68,695.4,173.5,333.33,645.0,6246.12,17574.27,31725.62,11545.35
Shepu,12553.62,3250.33,2215.22,2490.4,1450.56,2588.46,10444.06,25935.21,16069.68,9810.0,12591.07,27098.11,8962.79
Tomato,6306.28,8878.26,10996.03,10627.52,18649.65,16516.88,10068.94,17131.21,33696.42,31420.17,17888.27,8652.33,8794.22
Orange,13357.81,12313.92,16036.96,5603.26,2668.14,1116.56,685.25,921.0,4378.94,13263.45,19826.46,25963.42,8348.44
Spilt Pigeon Pea,28503.4,33012.0,34570.0,40585.33,29150.0,29676.33,18843.0,23664.0,21798.25,15948.0,17340.75,28797.5,7477.77
Apple,9118.62,4991.72,2477.33,1260.17,540.4,553.5,2150.24,8419.7,15097.24,18913.9,14725.62,15050.06,6711.8
Water Melon,13232.7,14815.62,23054.54,25017.38,15386.13,20621.93,13255.55,4414.0,6031.53,8605.38,10485.86,17348.5,6448.96
Ginger (Dry),21845.0,18597.33,10907.4,13909.25,17895.33,10826.8,30578.5,24060.67,26902.75,26787.75,21439.2,24126.33,6394.35
Turmeric,3050.63,10829.45,13205.73,18098.93,10696.21,5913.52,2099.69,2273.11,3091.45,2245.72,1544.92,2071.23,5547.47
Paddyunhusked,14937.52,9479.74,6014.06,5723.25,11399.99,8760.97,3958.59,3868.61,5000.49,4918.38,10760.38,20502.53,5046.76
Flower,3433.39,3294.47,2885.61,2362.65,3009.2,3115.06,3284.14,19511.09,9159.98,3256.88,2786.25,3068.36,4924.33
Melon,5409.0,9916.3,21371.62,8096.29,5493.0,6356.36,3812.82,2518.22,7923.4,5135.12,10137.75,5227.5,4903.33
Soybean,5410.34,4972.23,3401.04,4428.4,4528.06,3855.95,1721.95,2191.1,1562.58,12845.86,13842.72,7300.8,4011.56
