APMC,Commodity,Year,date,modal_price,Type,msprice,fluctuation,Relative_fluctuation
Umarkhed,Pigeon Pea (Tur),2016,2016-09,6000,Kharif Crops,4625.0,55400,166
Shegaon,Sesamum,2015,2015-10,6507,Kharif Crops,4700.0,10286,89
Barshi,Sesamum,2014,2014-10,10500,Kharif Crops,4600.0,9425,163
Gevrai,Pigeon Pea (Tur),2015,2015-03,5536,Kharif Crops,4425.0,8449,96
Nilanga,Pigeon Pea (Tur),2015,2015-08,8861,Kharif Crops,4425.0,7204,61
Mehkar,Pigeon Pea (Tur),2016,2016-03,8134,Kharif Crops,4625.0,6392,63
Mehkar,Pigeon Pea (Tur),2015,2015-07,9250,Kharif Crops,4425.0,5951,84
Lohara,Pigeon Pea (Tur),2015,2015-12,9568,Kharif Crops,4425.0,5719,49
Daryapur,Pigeon Pea (Tur),2015,2015-06,7191,Kharif Crops,4425.0,5596,73
Shahada,Maize,2015,2015-04,6713,Kharif Crops,1325.0,5500,139
Mumbai,Mustard,2014,2014-11,6500,Rabi Crops,3100.0,5000,77
Mumbai,Rice(Paddyhus),2016,2016-11,6023,Kharif Crops,1510.0,4819,70
Sangrampur,Pigeon Pea (Tur),2015,2015-09,8020,Kharif Crops,4425.0,4700,72
Khalapur(Shil-Phata),Rice(Paddyhus),2016,2016-08,3725,Kharif Crops,1510.0,4625,97
Babhulgaon,Pigeon Pea (Tur),2015,2015-12,5376,Kharif Crops,4425.0,4549,71
Malkapur,Pigeon Pea (Tur),2016,2016-06,8804,Kharif Crops,4625.0,4534,45
Ambejogai,Pigeon Pea (Tur),2015,2015-07,6258,Kharif Crops,4425.0,4511,58
Khalapur(Shil-Phata),Rice(Paddyhus),2016,2016-07,3793,Kharif Crops,1510.0,4443,95
Khalapur(Shil-Phata),Rice(Paddyhus),2016,2016-06,3719,Kharif Crops,1510.0,4262,93
Kalamb (Os),Pigeon Pea (Tur),2015,2015-08,8477,Kharif Crops,4425.0,4243,43
Tumsar,Pigeon Pea (Tur),2016,2016-03,6925,Kharif Crops,4625.0,4213,49
Mumbai,Mustard,2014,2014-10,6463,Rabi Crops,3100.0,4210,66
Mumbai,Rice(Paddyhus),2014,2014-09,7907,Kharif Crops,1400.0,4124,53
Brahmpuri,Paddyunhusked,2015,2015-11,1994,Kharif Crops,1410.0,4118,103
Himayatnagar,Pigeon Pea (Tur),2016,2016-01,8117,Kharif Crops,4625.0,3951,40
Mumbai,Rice(Paddyhus),2014,2014-10,7473,Kharif Crops,1400.0,3947,53
Sangrampur,Pigeon Pea (Tur),2015,2015-10,7700,Kharif Crops,4425.0,3920,55
Sangali,Rice(Paddyhus),2016,2016-06,4481,Kharif Crops,1510.0,3895,100
Sangrampur,Pigeon Pea (Tur),2015,2015-08,7662,Kharif Crops,4425.0,3870,62
Ghatanji,Cotton,2016,2016-03,4428,Kharif Crops,3860.0,3825,63
Sangali,Rice(Paddyhus),2014,2014-09,3700,Kharif Crops,1400.0,3800,103
Sangali,Rice(Paddyhus),2015,2015-07,3700,Kharif Crops,1450.0,3800,106
Sangali,Rice(Paddyhus),2015,2015-05,3600,Kharif Crops,1450.0,3800,106
Sangali,Rice(Paddyhus),2016,2016-05,4380,Kharif Crops,1510.0,3790,100
Dondaicha,Pigeon Pea (Tur),2015,2015-04,5092,Kharif Crops,4425.0,3782,56
Khamgaon,Pigeon Pea (Tur),2015,2015-09,8632,Kharif Crops,4425.0,3749,48
Sangali,Rice(Paddyhus),2016,2016-04,4369,Kharif Crops,1510.0,3709,99
Sangali,Rice(Paddyhus),2016,2016-10,4489,Kharif Crops,1510.0,3689,95
Daryapur,Pigeon Pea (Tur),2015,2015-08,8727,Kharif Crops,4425.0,3675,51
Sangali,Rice(Paddyhus),2016,2016-01,4233,Kharif Crops,1510.0,3667,96
Mumbai,Rice(Paddyhus),2015,2015-05,6247,Kharif Crops,1450.0,3666,59
Sangali,Rice(Paddyhus),2016,2016-08,4496,Kharif Crops,1510.0,3658,96
Sangali,Rice(Paddyhus),2016,2016-07,4486,Kharif Crops,1510.0,3648,97
Mumbai,Rice(Paddyhus),2014,2014-12,7248,Kharif Crops,1400.0,3647,50
Sindi (Selu),Pigeon Pea (Tur),2016,2016-11,2540,Kharif Crops,4625.0,3625,101
Solapur,Rice(Paddyhus),2014,2014-11,3840,Kharif Crops,1400.0,3605,93
Kolhapur-Laxmipuri,Rice(Paddyhus),2014,2014-10,3000,Kharif Crops,1400.0,3600,98
Solapur,Rice(Paddyhus),2014,2014-10,3817,Kharif Crops,1400.0,3588,91
Solapur,Rice(Paddyhus),2014,2014-09,3834,Kharif Crops,1400.0,3572,91
Lasalgaon,Sunflower,2015,2015-11,4451,Kharif Crops,3800.0,3570,100
Sangali,Rice(Paddyhus),2016,2016-09,4455,Kharif Crops,1510.0,3554,94
